Name,Feature_Description,pklid,Latitude,Longitude,Date,MapInfo,Province,fklFeatureSubTypeID,Previous_Name,fklMagisterialDistrictID,ProvinceID,fklLanguageID,fklDisteral,Local Municipality,Sound,District Municipality,fklLocalMunic,Comments,Meaning
Amatikulu,Station,95756,-29.05111111,31.53138889,31-05-1989,,KwaZulu-Natal,79,,237,4,16,DC28,uMlalazi,,,KZ284,,
Amatikulu,Town,95757,-29.04666667,31.52805556,31-05-1989,,KwaZulu-Natal,111,,237,4,16,DC28,uMlalazi,,,KZ284,,
Botrivier,Station,92996,-34.22666667,19.20611111,31-05-1979,,Western Cape,79,,15,9,16,DC3,Theewaterskloof,,,WC031,,
Botrivier,Urban Area,92997,-34.22583333,19.205,31-05-1979,,Western Cape,114,,15,9,16,DC3,Theewaterskloof,,,WC031,,
Botrivier,Mouth,92998,-34.36805556,19.09888889,31-05-1982,,Western Cape,87,,359,9,16,DC3,Overstrand,,,WC032,,
Brakpan,Non_Perennial,92797,-26.60444444,26.34,01-06-1992,,North West,66,,262,8,16,DC40,Matlosana,,,NW403,,
Brakpan,Station,92798,-26.24,28.36111111,31-05-1995,,Gauteng,79,,280,3,16,EKU,Ekurhuleni Metro,,,EKU,,
Brakpan,Urban Area,92799,-26.23527778,28.37,31-05-1995,,Gauteng,114,,280,3,16,EKU,Ekurhuleni Metro,,,EKU,,
Brakpan,Dry,92800,-27.04583333,20.44638889,01-06-1992,,Northern Cape,65,,136,6,16,DC8,Mier,,,NC081,,
Brakpan,Urban Area,92801,-27.00583333,20.57805556,01-06-1992,,Northern Cape,65,,136,6,16,DC8,Mier,,,NC081,,
Brakpan,Town,92802,-27.95111111,26.53333333,30-05-1975,,Free State,68,,155,2,16,DC18,Matjhabeng,,,FS184,,
Sibabe,Mouth,70814,-27.35666667,30.44444444,01-06-1987,,KwaZulu-Natal,87,,228,4,16,DC25,Utrecht,,,KZ253,,
Ematshanganeni,Town,86901,-30.17472222,28.96305556,01-06-1998,,Eastern Cape,111,,102,1,16,DC44,Matatiele,,,EC05b3,,
eMatyolweni,Town,86905,-32.02111111,27.44611111,31-05-1982,,Eastern Cape,111,,111,1,16,DC13,Intsika Yethu,,,EC135,,
Emazimeni,Town,86921,-31.94027778,27.20833333,31-05-1982,,Eastern Cape,111,,118,1,16,DC13,Emalahleni EC,,,EC136,,
eMazizini,Town,86933,-32.37888889,28.09666667,,,Eastern Cape,111,,94,1,10,DC12,Mnquma,,,EC122,,
eMbalenhle,Town,86938,-26.54166667,29.07472222,31-05-1995,,Mpumalanga,111,,304,5,16,DC30,Govan Mbeki,,,MP307,,
eMbekweni,Town,86945,-32.24027778,26.72777778,01-06-1981,,Eastern Cape,111,,87,1,10,DC13,Lukanji,,,EC134,,
Emberton,Town,86948,-29.79,30.80138889,31-05-1989,,KwaZulu-Natal,111,,202,4,16,ETH,eThekwini Metro,,,ETH,,
Emdeni,Town,86968,-26.2425,27.825,31-05-1995,,Gauteng,111,,293,3,10,JHB,Johannesburg Metro,,Johannesburg Metro,JHB,,The name derives from the name of the former leader of the African National Congress Oliver Reginald Tambo
eMgwanisheni,Town,86989,-32.92194444,26.97138889,01-06-1981,,Eastern Cape,111,,91,1,10,DC12,Nkonkobe,,,EC127,,
Emkhalaqhude,Town,87014,-28.29805556,31.46833333,30-05-1980,,KwaZulu-Natal,111,,247,4,16,DC26,Ulundi,,,KZ266,,
Emmarentia,Town,87029,-26.14722222,27.99583333,31-05-1995,,Gauteng,111,,273,3,16,JHB,Johannesburg Metro,,Johannesburg Metro,JHB,,The name derives from the name of the former leader of the African National Congress Oliver Reginald Tambo
Empangeni Rail,Town,87059,-28.76916667,31.90694444,31-05-1983,,KwaZulu-Natal,111,,235,4,16,DC28,uMhlathuze,,,KZ282,,
Emthonjeni,Town,86698,-31.91972222,27.04583333,31-05-1982,,Eastern Cape,111,,118,1,16,DC13,Lukanji,,,EC134,,
